date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-05-29,29.94,35.25,25.54,58.9,3.17,0.89,1.19,0.47,169.5,0.34,0.24,0.24
2014-05-30,31.97,39.77,25.35,45.54,0.02,0.93,1.55,0.3,108.7,0.27,0.24,0.24
2014-05-31,32.35,41.02,24.51,42.75,0.32,1.02,1.64,0.25,166.3,0.22,0.23,0.24
2014-06-01,31.46,37.26,25.8,49.5,0.16,1.44,1.75,1.08,215.0,0.21,0.23,0.24
2014-06-02,31.56,38.01,25.15,51.49,0.64,0.9,1.75,0.0,228.9,0.22,0.23,0.24
2014-06-03,31.06,36.64,25.81,51.1,0.21,1.33,1.72,0.85,228.2,0.22,0.23,0.24
2014-06-04,32.41,40.45,25.32,43.15,0.41,1.09,1.73,0.62,147.6,0.21,0.23,0.24
2014-06-05,32.3,40.56,25.24,42.12,1.16,1.26,1.67,0.85,173.5,0.22,0.23,0.24
2014-06-06,32.4,39.81,25.96,45.76,1.19,0.99,1.74,0.09,221.3,0.23,0.23,0.24
2014-06-07,32.71,40.58,25.48,44.91,0.09,1.05,1.39,0.41,180.7,0.22,0.23,0.24
2014-06-08,32.63,39.31,26.44,44.04,0.73,0.95,1.66,0.18,208.7,0.21,0.23,0.24
2014-06-09,31.56,37.42,26.39,50.02,0.64,1.46,1.97,0.98,221.6,0.22,0.23,0.24
2014-06-10,31.06,37.72,26.25,52.03,0.55,1.13,1.63,0.44,243.8,0.23,0.23,0.24
2014-06-11,30.16,36.73,24.94,53.36,1.8,0.97,1.43,0.16,194.9,0.24,0.23,0.24
2014-06-12,30.82,37.67,24.65,45.71,2.46,0.92,1.5,0.15,96.0,0.27,0.23,0.24
2014-06-13,32.02,39.49,25.15,45.42,3.45,0.79,1.34,0.03,243.5,0.3,0.23,0.24
2014-06-14,31.55,39.72,24.37,46.72,1.79,1.15,1.75,0.21,271.5,0.28,0.24,0.24
2014-06-15,31.44,40.53,23.54,46.74,1.13,1.0,1.54,0.48,257.7,0.25,0.23,0.24
2014-06-16,30.53,36.4,24.94,50.85,1.36,0.92,1.52,0.43,218.0,0.25,0.23,0.24
2014-06-17,30.69,37.14,25.66,51.26,0.55,0.78,1.23,0.42,176.7,0.25,0.23,0.24
2014-06-18,32.1,40.16,24.69,41.89,0.67,0.81,1.64,0.12,231.1,0.23,0.23,0.24
2014-06-19,32.01,40.5,24.38,44.39,0.66,1.09,1.72,0.47,270.7,0.23,0.23,0.24
2014-06-20,30.15,35.75,24.3,56.21,2.76,0.95,1.74,0.13,235.5,0.26,0.23,0.24
2014-06-21,32.03,39.21,25.27,47.74,2.64,0.94,1.22,0.57,229.9,0.29,0.24,0.24
2014-06-22,31.56,39.43,23.71,48.2,2.63,0.97,1.45,0.45,140.5,0.29,0.24,0.24
2014-06-23,30.39,37.57,24.56,55.14,6.0,0.86,1.23,0.43,177.2,0.33,0.24,0.24
2014-06-24,30.92,39.17,23.36,50.73,0.52,0.67,1.0,0.23,187.6,0.29,0.24,0.24
2014-06-25,31.3,38.7,24.44,50.51,3.29,0.84,1.6,0.08,228.7,0.3,0.24,0.24
2014-06-26,31.6,38.98,24.41,48.69,1.17,0.72,1.18,0.13,228.7,0.27,0.24,0.24
2014-06-27,30.71,36.91,24.82,51.95,3.4,0.7,1.15,0.06,231.5,0.3,0.24,0.24
2014-06-28,28.57,33.72,24.05,63.16,8.52,0.89,1.27,0.52,222.4,0.38,0.25,0.25
2014-06-29,28.29,33.47,23.73,62.76,4.72,0.84,1.45,0.34,211.0,0.38,0.26,0.25
2014-06-30,29.56,36.95,23.14,56.21,2.68,0.74,1.13,0.34,207.6,0.33,0.26,0.25
2014-07-01,29.69,37.15,23.1,53.97,3.1,0.71,1.0,0.29,180.0,0.33,0.26,0.25
2014-07-02,28.67,34.78,23.96,60.39,5.23,0.7,1.31,0.26,86.3,0.34,0.26,0.25
2014-07-03,30.77,38.52,24.32,52.87,3.61,0.53,1.04,0.17,207.5,0.36,0.26,0.26
2014-07-04,30.23,36.96,24.88,58.57,1.88,1.19,1.59,0.93,239.6,0.32,0.26,0.26
2014-07-05,28.2,33.52,23.96,64.31,4.01,1.21,1.51,0.98,236.7,0.34,0.26,0.26
2014-07-06,26.93,32.13,22.73,68.58,5.13,0.93,1.68,0.35,216.1,0.37,0.27,0.26
2014-07-07,28.42,35.46,22.36,57.51,0.8,0.93,1.32,0.46,212.4,0.32,0.26,0.26
2014-07-08,28.21,34.53,22.7,61.74,8.6,0.7,1.17,0.27,273.6,0.37,0.27,0.26
2014-07-09,27.62,32.69,23.56,66.9,11.34,0.67,0.98,0.3,243.4,0.44,0.28,0.27
2014-07-10,29.4,36.44,22.54,59.32,1.12,0.46,0.84,0.02,217.0,0.37,0.28,0.27
2014-07-11,29.56,35.69,23.47,54.66,1.11,0.51,1.12,0.06,232.1,0.31,0.28,0.27
2014-07-12,29.42,35.99,24.32,57.63,0.69,0.55,0.99,0.16,250.2,0.29,0.27,0.27
2014-07-13,29.5,35.87,23.52,55.59,0.26,0.49,0.83,0.3,212.2,0.28,0.27,0.27
2014-07-14,31.07,39.15,23.2,47.3,0.88,0.53,0.87,0.14,95.0,0.27,0.27,0.27
2014-07-15,30.99,38.23,25.08,50.9,8.56,0.59,0.87,0.39,273.7,0.34,0.27,0.27
2014-07-16,26.71,32.06,23.46,79.4,17.16,0.75,1.08,0.44,224.5,0.49,0.29,0.28
2014-07-17,28.07,35.16,22.89,65.84,4.98,0.48,0.78,0.26,173.1,0.44,0.3,0.29
2014-07-18,26.99,32.7,23.04,71.21,8.55,0.71,1.14,0.32,264.2,0.43,0.3,0.29
2014-07-19,27.71,33.68,22.67,67.92,1.81,0.67,1.09,0.28,254.5,0.39,0.3,0.29
2014-07-20,28.8,35.13,23.07,62.14,0.82,0.52,0.93,0.21,236.7,0.34,0.3,0.29
2014-07-21,29.89,37.2,23.33,57.33,1.76,0.42,0.77,0.18,270.4,0.32,0.29,0.29
2014-07-22,26.69,30.38,24.21,71.93,2.45,0.51,0.72,0.18,271.8,0.34,0.29,0.29
2014-07-23,27.04,32.88,22.38,66.04,1.72,0.37,0.8,0.02,253.5,0.35,0.29,0.29
2014-07-24,27.42,32.58,22.85,63.73,2.27,0.47,0.82,0.25,256.8,0.34,0.29,0.29
2014-07-25,28.15,34.6,22.56,61.71,1.57,0.45,0.94,0.07,243.8,0.33,0.29,0.29
2014-07-26,30.03,37.45,22.92,54.55,0.35,0.48,0.69,0.25,251.6,0.3,0.28,0.29
2014-07-27,30.91,39.19,23.1,50.34,0.72,0.49,0.78,0.21,199.2,0.28,0.28,0.29
2014-07-28,29.35,36.09,23.75,57.87,0.93,0.34,0.49,0.2,194.9,0.28,0.28,0.29
2014-07-29,28.74,35.32,23.61,58.63,1.24,0.35,0.53,0.18,205.6,0.29,0.28,0.29
2014-07-30,27.78,34.42,23.11,65.21,8.69,0.45,0.7,0.25,235.3,0.39,0.28,0.29
2014-07-31,27.18,33.35,22.49,70.8,7.96,0.44,0.82,0.13,251.1,0.44,0.29,0.3
2014-08-01,24.27,26.95,22.78,88.35,11.03,0.33,0.55,0.06,253.9,0.5,0.31,0.3
2014-08-02,24.88,28.3,22.38,79.2,4.36,0.64,1.15,0.18,187.5,0.44,0.32,0.31
